repo,distinct_hips_merged,matched_prs,total_prs
hiero-ledger/hiero-consensus-node,37,222,4743
hiero-ledger/hiero-mirror-node,35,191,3363
hiero-ledger/hiero-sdk-go,14,24,440
hiero-ledger/solo,13,13,2217
hiero-ledger/hiero-sdk-js,13,36,1008
hiero-ledger/hiero-sdk-cpp,13,15,483
hiero-ledger/hiero-sdk-java,12,26,536
hiero-ledger/hiero-sdk-swift,12,14,132
hiero-ledger/hiero-json-rpc-relay,11,12,1234
hiero-ledger/hiero-mirror-node-explorer,11,16,946
hiero-ledger/hiero-sdk-rust,9,9,271
hiero-ledger/sdk-collaboration-hub,9,25,170
hiero-ledger/hiero-sdk-python,5,5,968
hiero-ledger/hiero-website,4,4,305
hiero-ledger/hiero-block-node,3,7,1446
hiero-ledger/governance,3,3,499
hiero-ledger/hiero-sdk-tck,3,2,252
hiero-ledger/hiero-cli,2,2,556
hiero-ledger/tsc,2,2,144
hiero-ledger/hiero-contracts,2,2,70
hiero-ledger/hiero-local-node,1,2,264
hiero-ledger/hiero-docs,1,1,49
hiero-ledger/hiero-gradle-conventions,0,0,382
hiero-ledger/hiero-cryptography,0,0,350
hiero-ledger/solo-docs,0,0,152
hiero-ledger/hiero-enterprise-java,0,0,149
hiero-ledger/hiero-hederium,0,0,108
hiero-ledger/heka-identity-platform,0,0,94
hiero-ledger/homebrew-tools,0,0,79
hiero-ledger/hiero,0,0,75
hiero-ledger/hiero-solo-action,0,0,70
hiero-ledger/.github,0,0,53
hiero-ledger/hiero-did-sdk-js,0,0,53
hiero-ledger/hiero-did-sdk-python,0,0,44
hiero-ledger/hiero-consensus-specifications,0,0,25
hiero-ledger/awesome-contributions,0,0,16
hiero-ledger/tsc-eligibility-check,0,0,12
hiero-ledger/identity-collaboration-hub,0,0,11
hiero-ledger/hiero-ethereum-execution-spec-tests,0,0,2
